ohjepalkka	ohjepalkalla	N;AT+ESS;SG
kylvövirvilä	kylvövirvilässä	N;IN+ESS;SG
akkalansaame	akkalansaamessa	N;IN+ESS;SG
enimmäispääoma	enimmäispääomalla	N;AT+ESS;SG
speleologi	speleologilla	N;AT+ESS;SG
paperimassa	paperimassalla	N;AT+ESS;SG
sähköparisto	sähköparistossa	N;IN+ESS;SG
kutri	kutrissa	N;IN+ESS;SG
rokkari	rokkarilla	N;AT+ESS;SG
regeneraatio	regeneraatiolla	N;AT+ESS;SG
jalkajakkara	jalkajakkarassa	N;IN+ESS;SG
kinoa	kinoassa	N;IN+ESS;SG
aerobic	aerobicilla	N;AT+ESS;SG
mustarousku	mustarouskussa	N;IN+ESS;SG
lakkalikööri	lakkaliköörissä	N;IN+ESS;SG
kruununtavoittelija	kruununtavoittelijassa	N;IN+ESS;SG
ydinpuolustus	ydinpuolustuksessa	N;IN+ESS;SG
äärevyys	äärevyydessä	N;IN+ESS;SG
aivokalvo	aivokalvossa	N;IN+ESS;SG
muskeli	muskelilla	N;AT+ESS;SG
symptomi	symptomilla	N;AT+ESS;SG
šakaali	šakaalilla	N;AT+ESS;SG
boolimalja	boolimaljassa	N;IN+ESS;SG
dietyylieetteri	dietyylieetterillä	N;AT+ESS;SG
videopeli	videopelissä	N;IN+ESS;SG
syvyyspommi	syvyyspommilla	N;AT+ESS;SG
possunliha	possunlihalla	N;AT+ESS;SG
hekstaagi	hekstaagissa	N;IN+ESS;SG
yleiskieli	yleiskielessä	N;IN+ESS;SG
aforismikokoelma	aforismikokoelmalla	N;AT+ESS;SG
pamahdus	pamahduksessa	N;IN+ESS;SG
sademäärä	sademäärässä	N;IN+ESS;SG
ensyklopedia	ensyklopedialla	N;AT+ESS;SG
arkipyhä	arkipyhässä	N;IN+ESS;SG
ientulehdus	ientulehduksella	N;AT+ESS;SG
mielikuvitusmaa	mielikuvitusmaassa	N;IN+ESS;SG
galaksi	galaksissa	N;IN+ESS;SG
valikko	valikolla	N;AT+ESS;SG
liukuluku	liukuluvulla	N;AT+ESS;SG
tapionherkkusieni	tapionherkkusienellä	N;AT+ESS;SG
palveluskoira	palveluskoiralla	N;AT+ESS;SG
melodia	melodiassa	N;IN+ESS;SG
nasalisaatio	nasalisaatiolla	N;AT+ESS;SG
sulka	sulalla	N;AT+ESS;SG
arabeski	arabeskissa	N;IN+ESS;SG
diasarja	diasarjalla	N;AT+ESS;SG
rakkauselämä	rakkauselämällä	N;AT+ESS;SG
ohjelmistosuunnittelu	ohjelmistosuunnittelussa	N;IN+ESS;SG
kalliokyyhky	kalliokyyhkyllä	N;AT+ESS;SG
ravunsyöjäkoira	ravunsyöjäkoiralla	N;AT+ESS;SG
säätutka	säätutkassa	N;IN+ESS;SG
skleroderma	sklerodermassa	N;IN+ESS;SG
parallaksi	parallaksissa	N;IN+ESS;SG
lokero	lokerolla	N;AT+ESS;SG
fiilari	fiilarissa	N;IN+ESS;SG
bakterisidi	bakterisidilla	N;AT+ESS;SG
šiia	šiialla	N;AT+ESS;SG
sähköfysiologia	sähköfysiologiassa	N;IN+ESS;SG
torjunta	torjunnalla	N;AT+ESS;SG
gastrektomia	gastrektomiassa	N;IN+ESS;SG
sagriini	sagriinissa	N;IN+ESS;SG
teuras	teuraassa	N;IN+ESS;SG
substanssiarvo	substanssiarvolla	N;AT+ESS;SG
huonelämpötila	huonelämpötilassa	N;IN+ESS;SG
floppityyli	floppityylillä	N;AT+ESS;SG
plyysisohva	plyysisohvassa	N;IN+ESS;SG
himalajanmurmeli	himalajanmurmelissa	N;IN+ESS;SG
läksy	läksyllä	N;AT+ESS;SG
korttihai	korttihailla	N;AT+ESS;SG
digitaaliteknologia	digitaaliteknologialla	N;AT+ESS;SG
apuneuvo	apuneuvolla	N;AT+ESS;SG
mikrokliini	mikrokliinillä	N;AT+ESS;SG
hydromekaniikka	hydromekaniikalla	N;AT+ESS;SG
polynomi	polynomissa	N;IN+ESS;SG
alusvaate	alusvaatteella	N;AT+ESS;SG
jäljenne	jäljenteellä	N;AT+ESS;SG
öljy-yhtiö	öljy-yhtiössä	N;IN+ESS;SG
vaivaisenluu	vaivaisenluussa	N;IN+ESS;SG
pyörintä	pyörinnässä	N;IN+ESS;SG
hopeaposkimuura	hopeaposkimuuralla	N;AT+ESS;SG
nenäapina	nenäapinassa	N;IN+ESS;SG
